4.361: [GC 4.361: [ParNew: 419456K->35007K(471872K), 0.0785490 secs] 419456K->35007K(11361088K), 0.0786850 secs] [Times: user=0.25 sys=0.07, real=0.08 secs] 
7.449: [GC 7.449: [ParNew: 454463K->52416K(471872K), 0.3173930 secs] 454463K->101687K(11361088K), 0.3175070 secs] [Times: user=0.75 sys=0.20, real=0.32 secs] 
9.855: [GC 9.855: [ParNew: 471872K->52416K(471872K), 0.4289040 secs] 521143K->168389K(11361088K), 0.4290280 secs] [Times: user=0.92 sys=0.20, real=0.42 secs] 
11.817: [GC 11.817: [ParNew: 471872K->52416K(471872K), 0.2172630 secs] 587845K->209971K(11361088K), 0.2173820 secs] [Times: user=0.86 sys=0.14, real=0.21 secs] 
13.213: [GC 13.213: [ParNew: 471872K->52416K(471872K), 0.5529440 secs] 629427K->351620K(11361088K), 0.5530550 secs] [Times: user=1.81 sys=0.47, real=0.56 secs] 
17.581: [GC 17.581: [ParNew: 471872K->52416K(471872K), 0.2557020 secs] 771076K->414200K(11361088K), 0.2558190 secs] [Times: user=0.82 sys=0.18, real=0.26 secs] 
18.139: [GC 18.139: [ParNew: 471872K->38129K(471872K), 0.1399490 secs] 833656K->433975K(11361088K), 0.1400600 secs] [Times: user=0.38 sys=0.10, real=0.14 secs] 
18.558: [GC 18.558: [ParNew: 457585K->8857K(471872K), 0.0029410 secs] 853431K->404703K(11361088K), 0.0029990 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
19.540: [GC 19.540: [ParNew: 428313K->24668K(471872K), 0.0162920 secs] 824159K->420514K(11361088K), 0.0163930 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
21.274: [GC 21.274: [ParNew: 444124K->52415K(471872K), 0.0995710 secs] 839970K->462473K(11361088K), 0.0996860 secs] [Times: user=0.29 sys=0.01, real=0.10 secs] 
23.575: [GC 23.575: [ParNew: 471871K->52416K(471872K), 0.2141160 secs] 881929K->491606K(11361088K), 0.2142260 secs] [Times: user=0.56 sys=0.09, real=0.22 secs] 
26.313: [GC 26.313: [ParNew: 471872K->52415K(471872K), 0.3030790 secs] 911062K->529053K(11361088K), 0.3032080 secs] [Times: user=0.65 sys=0.08, real=0.30 secs] 
30.476: [GC 30.476: [ParNew: 471871K->51099K(471872K), 0.2319440 secs] 948509K->559866K(11361088K), 0.2320860 secs] [Times: user=0.74 sys=0.11, real=0.24 secs] 
34.250: [GC 34.250: [ParNew: 470555K->52416K(471872K), 0.2754520 secs] 979322K->591788K(11361088K), 0.2756030 secs] [Times: user=0.61 sys=0.09, real=0.27 secs] 
40.263: [GC 40.263: [ParNew: 471872K->52416K(471872K), 0.3403470 secs] 1011244K->653426K(11361088K), 0.3405150 secs] [Times: user=0.96 sys=0.14, real=0.34 secs] 
44.478: [GC 44.478: [ParNew: 471872K->52416K(471872K), 0.7031260 secs] 1072882K->757387K(11361088K), 0.7032770 secs] [Times: user=1.17 sys=0.20, real=0.71 secs] 
49.177: [GC 49.177: [ParNew: 471872K->52416K(471872K), 0.0756680 secs] 1176843K->766745K(11361088K), 0.0758360 secs] [Times: user=0.51 sys=0.02, real=0.08 secs] 
53.686: [GC 53.686: [ParNew: 471872K->52416K(471872K), 0.5104480 secs] 1186201K->861767K(11361088K), 0.5106200 secs] [Times: user=1.43 sys=0.30, real=0.51 secs] 
57.061: [GC 57.061: [ParNew: 471872K->52416K(471872K), 0.5852530 secs] 1281223K->977115K(11361088K), 0.5854250 secs] [Times: user=2.17 sys=0.34, real=0.58 secs] 
61.812: [GC 61.812: [ParNew: 471872K->52416K(471872K), 0.5576300 secs] 1396571K->1066244K(11361088K), 0.5578180 secs] [Times: user=1.16 sys=0.21, real=0.55 secs] 
67.487: [GC 67.487: [ParNew: 471872K->52416K(471872K), 0.2965490 secs] 1485700K->1096184K(11361088K), 0.2967450 secs] [Times: user=0.64 sys=0.03, real=0.30 secs] 
75.616: [GC 75.616: [ParNew: 471872K->52416K(471872K), 0.3555370 secs] 1515640K->1152560K(11361088K), 0.3557300 secs] [Times: user=0.91 sys=0.12, real=0.35 secs] 
78.404: [GC 78.404: [ParNew: 471872K->52416K(471872K), 0.4726750 secs] 1572016K->1218411K(11361088K), 0.4728560 secs] [Times: user=0.83 sys=0.13, real=0.47 secs] 
82.723: [GC 82.723: [ParNew: 471872K->52416K(471872K), 0.4025200 secs] 1637867K->1266739K(11361088K), 0.4027250 secs] [Times: user=0.95 sys=0.11, real=0.40 secs] 
87.694: [GC 87.694: [ParNew: 471872K->39922K(471872K), 0.1481240 secs] 1686195K->1283403K(11361088K), 0.1483220 secs] [Times: user=0.50 sys=0.09, real=0.14 secs] 
92.272: [GC 92.272: [ParNew: 459378K->33967K(471872K), 0.0279570 secs] 1702859K->1277448K(11361088K), 0.0282100 secs] [Times: user=0.29 sys=0.01, real=0.03 secs] 
96.246: [GC 96.246: [ParNew: 453423K->48485K(471872K), 0.0835220 secs] 1696904K->1306111K(11361088K), 0.0837280 secs] [Times: user=0.48 sys=0.05, real=0.08 secs] 
100.848: [GC 100.848: [ParNew: 467941K->47581K(471872K), 0.0723020 secs] 1725567K->1315412K(11361088K), 0.0725170 secs] [Times: user=0.37 sys=0.02, real=0.07 secs] 
104.050: [GC 104.050: [ParNew: 467037K->45891K(471872K), 0.0937760 secs] 1734868K->1330946K(11361088K), 0.0939880 secs] [Times: user=0.52 sys=0.08, real=0.09 secs] 
107.690: [GC 107.690: [ParNew: 465347K->47451K(471872K), 0.0644890 secs] 1750402K->1343858K(11361088K), 0.0647070 secs] [Times: user=0.39 sys=0.03, real=0.06 secs] 
111.307: [GC 111.307: [ParNew: 466907K->44485K(471872K), 0.0803520 secs] 1763314K->1358014K(11361088K), 0.0805740 secs] [Times: user=0.42 sys=0.05, real=0.08 secs] 
115.555: [GC 115.555: [ParNew: 463941K->50777K(471872K), 0.1823740 secs] 1777470K->1379199K(11361088K), 0.1825990 secs] [Times: user=0.91 sys=0.51, real=0.19 secs] 
117.945: [GC 117.945: [ParNew: 470233K->42431K(471872K), 0.0719910 secs] 1798655K->1381744K(11361088K), 0.0722040 secs] [Times: user=0.38 sys=0.08, real=0.08 secs] 
589.178: [GC 589.178: [ParNew: 461887K->45758K(471872K), 0.1143840 secs] 1801200K->1400128K(11361088K), 0.1146250 secs] [Times: user=0.42 sys=0.07, real=0.11 secs] 
1277.041: [GC 1277.041: [ParNew: 465214K->30727K(471872K), 0.0540150 secs] 1819584K->1394060K(11361088K), 0.0542590 secs] [Times: user=0.25 sys=0.04, real=0.06 secs] 
1303.511: [GC 1303.512: [ParNew: 450183K->52416K(471872K), 0.1181540 secs] 1813516K->1427349K(11361088K), 0.1183880 secs] [Times: user=0.56 sys=0.02, real=0.12 secs] 
1322.900: [GC 1322.900: [ParNew: 471872K->52415K(471872K), 0.6097560 secs] 1846805K->1511840K(11361088K), 0.6099810 secs] [Times: user=1.14 sys=0.23, real=0.61 secs] 
1328.505: [GC 1328.505: [ParNew: 471838K->43148K(471872K), 0.1634640 secs] 1931262K->1528086K(11361088K), 0.1636970 secs] [Times: user=0.55 sys=0.09, real=0.16 secs] 
1330.388: [GC 1330.389: [ParNew: 462604K->52355K(471872K), 0.1722020 secs] 1947542K->1558455K(11361088K), 0.1724390 secs] [Times: user=0.40 sys=0.06, real=0.18 secs] 
1340.791: [GC 1340.791: [ParNew: 471811K->52416K(471872K), 0.2646350 secs] 1977911K->1582914K(11361088K), 0.2648490 secs] [Times: user=0.56 sys=0.05, real=0.26 secs] 
1366.100: [GC 1366.101: [ParNew: 471872K->52415K(471872K), 0.2892790 secs] 2002370K->1608856K(11361088K), 0.2895120 secs] [Times: user=0.60 sys=0.09, real=0.29 secs] 
1611.804: [GC 1611.804: [ParNew: 471871K->25332K(471872K), 0.0821120 secs] 2028312K->1592425K(11361088K), 0.0823430 secs] [Times: user=0.31 sys=0.04, real=0.08 secs] 
1660.202: [GC 1660.202: [ParNew: 444788K->51958K(471872K), 0.0684370 secs] 2011881K->1619051K(11361088K), 0.0686820 secs] [Times: user=0.52 sys=0.01, real=0.06 secs] 
1689.448: [GC 1689.448: [ParNew: 471413K->50960K(471872K), 0.2157070 secs] 2038506K->1655585K(11361088K), 0.2159470 secs] [Times: user=0.47 sys=0.10, real=0.21 secs] 
1692.179: [GC 1692.179: [ParNew: 470416K->45097K(471872K), 0.1595050 secs] 2075041K->1649722K(11361088K), 0.1597330 secs] [Times: user=0.48 sys=0.00, real=0.16 secs] 
1710.375: [GC 1710.375: [ParNew: 464553K->52415K(471872K), 0.2786320 secs] 2069178K->1666493K(11361088K), 0.2788580 secs] [Times: user=0.49 sys=0.02, real=0.28 secs] 
1935.623: [GC 1935.623: [ParNew: 471871K->22530K(471872K), 0.0730910 secs] 2085949K->1640144K(11361088K), 0.0733350 secs] [Times: user=0.38 sys=0.02, real=0.07 secs] 
