3.555: [GC [PSYoungGen: 262208K->23398K(305856K)] 262208K->23398K(1004928K), 0.0562140 secs] [Times: user=0.11 sys=0.01, real=0.06 secs] 
5.924: [GC [PSYoungGen: 270414K->43645K(305856K)] 270414K->49755K(1004928K), 0.0968910 secs] [Times: user=0.17 sys=0.03, real=0.09 secs] 
6.021: [Full GC (System) [PSYoungGen: 43645K->0K(305856K)] [PSOldGen: 6109K->47649K(699072K)] 49755K->47649K(1004928K) [PSPermGen: 28303K->28303K(262144K)], 0.3342930 secs] [Times: user=0.31 sys=0.03, real=0.34 secs] 
8.203: [GC [PSYoungGen: 262208K->31825K(305856K)] 309857K->79475K(1004928K), 0.0956300 secs] [Times: user=0.18 sys=0.00, real=0.09 secs] 
9.673: [GC [PSYoungGen: 294033K->37881K(305856K)] 341683K->85531K(1004928K), 0.0910030 secs] [Times: user=0.16 sys=0.00, real=0.09 secs] 
11.671: [GC [PSYoungGen: 300089K->43624K(305856K)] 347739K->112622K(1004928K), 0.0878590 secs] [Times: user=0.24 sys=0.02, real=0.09 secs] 
13.847: [GC [PSYoungGen: 305832K->43640K(238912K)] 374830K->136052K(937984K), 0.0988710 secs] [Times: user=0.21 sys=0.02, real=0.10 secs] 
15.322: [GC [PSYoungGen: 238904K->69569K(264896K)] 331316K->161981K(963968K), 0.1142030 secs] [Times: user=0.26 sys=0.00, real=0.12 secs] 
17.209: [GC [PSYoungGen: 264833K->68461K(256320K)] 357245K->171392K(955392K), 0.1557950 secs] [Times: user=0.36 sys=0.01, real=0.16 secs] 
19.320: [GC [PSYoungGen: 240173K->56274K(260608K)] 343104K->188775K(959680K), 0.1528450 secs] [Times: user=0.35 sys=0.02, real=0.15 secs] 
21.430: [GC [PSYoungGen: 227986K->57227K(264256K)] 360487K->202693K(963328K), 0.1589000 secs] [Times: user=0.30 sys=0.01, real=0.16 secs] 
24.107: [GC [PSYoungGen: 234699K->35857K(262720K)] 380165K->201483K(961792K), 0.1124820 secs] [Times: user=0.22 sys=0.02, real=0.11 secs] 
42.521: [GC [PSYoungGen: 213329K->28858K(264064K)] 378955K->215090K(963136K), 0.1061890 secs] [Times: user=0.18 sys=0.02, real=0.11 secs] 
43.604: [GC [PSYoungGen: 208122K->20770K(200064K)] 394354K->218214K(899136K), 0.1030410 secs] [Times: user=0.12 sys=0.00, real=0.10 secs] 
44.374: [GC [PSYoungGen: 200034K->16793K(261504K)] 397478K->226395K(960576K), 0.0470180 secs] [Times: user=0.12 sys=0.01, real=0.05 secs] 
45.244: [GC [PSYoungGen: 192089K->9484K(184832K)] 401691K->230155K(883904K), 0.0438060 secs] [Times: user=0.09 sys=0.01, real=0.04 secs] 
45.800: [GC [PSYoungGen: 184780K->13871K(261696K)] 405451K->240839K(960768K), 0.0361950 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
46.462: [GC [PSYoungGen: 187247K->15542K(261184K)] 414215K->252243K(960256K), 0.1306490 secs] [Times: user=0.24 sys=0.01, real=0.13 secs] 
47.032: [GC [PSYoungGen: 188902K->13302K(264576K)] 425603K->260198K(963648K), 0.0631880 secs] [Times: user=0.10 sys=0.02, real=0.06 secs] 
47.697: [GC [PSYoungGen: 191478K->11854K(263104K)] 438374K->267223K(962176K), 0.0483330 secs] [Times: user=0.12 sys=0.01, real=0.05 secs] 
48.125: [GC [PSYoungGen: 190030K->13971K(268736K)] 445399K->274659K(967808K), 0.0400170 secs] [Times: user=0.09 sys=0.01, real=0.04 secs] 
48.906: [GC [PSYoungGen: 199507K->15474K(266304K)] 460195K->283458K(965376K), 0.0630300 secs] [Times: user=0.12 sys=0.01, real=0.07 secs] 
49.464: [GC [PSYoungGen: 201010K->12537K(274048K)] 468994K->288676K(973120K), 0.0569150 secs] [Times: user=0.08 sys=0.01, real=0.06 secs] 
50.038: [GC [PSYoungGen: 208697K->14667K(271616K)] 484836K->298678K(970688K), 0.0842780 secs] [Times: user=0.10 sys=0.00, real=0.09 secs] 
50.614: [GC [PSYoungGen: 210827K->14649K(280064K)] 494838K->306956K(979136K), 0.0449440 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
51.252: [GC [PSYoungGen: 222265K->14664K(277056K)] 514572K->314714K(976128K), 0.0708900 secs] [Times: user=0.08 sys=0.01, real=0.07 secs] 
51.790: [GC [PSYoungGen: 222280K->14201K(285888K)] 522330K->322625K(984960K), 0.0604510 secs] [Times: user=0.09 sys=0.01, real=0.06 secs] 
52.309: [GC [PSYoungGen: 233593K->15568K(283008K)] 542017K->329295K(982080K), 0.0606600 secs] [Times: user=0.11 sys=0.01, real=0.07 secs] 
52.769: [GC [PSYoungGen: 234960K->14383K(291648K)] 548687K->334821K(990720K), 0.0471170 secs] [Times: user=0.12 sys=0.01, real=0.05 secs] 
53.310: [GC [PSYoungGen: 245423K->16670K(288896K)] 565861K->342469K(987968K), 0.0550730 secs] [Times: user=0.14 sys=0.00, real=0.05 secs] 
53.760: [GC [PSYoungGen: 247710K->13604K(296960K)] 573509K->347953K(996032K), 0.0374730 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
54.231: [GC [PSYoungGen: 255708K->15025K(294656K)] 590057K->353591K(993728K), 0.0417830 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
54.691: [GC [PSYoungGen: 257137K->18005K(302336K)] 595703K->362530K(1001408K), 0.0858680 secs] [Times: user=0.13 sys=0.00, real=0.08 secs] 
55.116: [GC [PSYoungGen: 270293K->17750K(299456K)] 614818K->368706K(998528K), 0.0519080 secs] [Times: user=0.12 sys=0.02, real=0.05 secs] 
55.667: [GC [PSYoungGen: 270038K->15952K(306944K)] 620994K->375140K(1006016K), 0.0488270 secs] [Times: user=0.10 sys=0.01, real=0.05 secs] 
56.263: [GC [PSYoungGen: 278288K->16055K(304896K)] 637476K->382119K(1003968K), 0.0893550 secs] [Times: user=0.14 sys=0.02, real=0.09 secs] 
56.787: [GC [PSYoungGen: 278391K->18852K(310976K)] 644455K->392563K(1010048K), 0.0827020 secs] [Times: user=0.11 sys=0.02, real=0.08 secs] 
57.413: [GC [PSYoungGen: 289252K->16835K(308928K)] 662963K->398881K(1008000K), 0.0612450 secs] [Times: user=0.11 sys=0.02, real=0.06 secs] 
57.897: [GC [PSYoungGen: 287235K->16478K(314240K)] 669281K->406084K(1013312K), 0.0520980 secs] [Times: user=0.10 sys=0.02, real=0.05 secs] 
58.541: [GC [PSYoungGen: 293918K->17393K(312704K)] 683524K->412986K(1011776K), 0.0424110 secs] [Times: user=0.08 sys=0.02, real=0.04 secs] 
