2629:   /opt/jboss/jdk15/bin/java -Dprogram.name=run.sh -server -Xms1024m -Xmx1024m -Xmn256m -Xss256k -XX:PermSize=256m -XX:MaxPermSize=256m -XX:+UseParallelGC -XX:+UseParallelOldGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+PrintHeapAtGC -XX:+PrintTenuringDistribution -XX:+DisableExplicitGC -Djboss.platform.mbeanserver -Djava.awt.headless=true
Address           Kbytes     RSS   Dirty Mode   Mapping
0000000040000000      56      44       0 r-x--  java
000000004010d000      12       8       8 rwx--  java
0000000040154000      12       0       0 -----    [ anon ]
0000000040157000     248      40      40 rwx--    [ anon ]
0000000040290000      12       0       0 -----    [ anon ]
0000000040293000     248      32      32 rwx--    [ anon ]
00000000402d1000      12       0       0 -----    [ anon ]
00000000402d4000     248      32      32 rwx--    [ anon ]
000000004032c000       4       0       0 -----    [ anon ]
000000004032d000    1024      12      12 rwx--    [ anon ]
000000004042d000      12       0       0 -----    [ anon ]
0000000040430000     248      32      32 rwx--    [ anon ]
000000004046e000      12       0       0 rwx--    [ anon ]
0000000040471000     248     148     148 rwx--    [ anon ]
00000000404af000      12       0       0 rwx--    [ anon ]
00000000404b2000     248     136     136 rwx--    [ anon ]
000000004050d000      12       0       0 -----    [ anon ]
0000000040510000     248      32      32 rwx--    [ anon ]
000000004054e000      12       0       0 -----    [ anon ]
0000000040551000     248      44      44 rwx--    [ anon ]
000000004058f000      12       0       0 -----    [ anon ]
0000000040592000     248     136     136 rwx--    [ anon ]
00000000405d0000      12       0       0 rwx--    [ anon ]
00000000405d3000     248     136     136 rwx--    [ anon ]
0000000040624000      12       0       0 -----    [ anon ]
0000000040627000     248      40      40 rwx--    [ anon ]
00000000406a5000      12       0       0 -----    [ anon ]
00000000406a8000     248      32      32 rwx--    [ anon ]
00000000406e6000      12       0       0 -----    [ anon ]
00000000406e9000     248      32      32 rwx--    [ anon ]
00000000407c0000       4       0       0 -----    [ anon ]
00000000407c1000    1024      12      12 rwx--    [ anon ]
00000000408c1000       4       0       0 -----    [ anon ]
00000000408c2000    1024      12      12 rwx--    [ anon ]
00000000409c2000       4       0       0 -----    [ anon ]
00000000409c3000    1024      12      12 rwx--    [ anon ]
0000000040ac3000      12       0       0 -----    [ anon ]
0000000040ac6000     248      36      36 rwx--    [ anon ]
0000000040b04000      12       0       0 rwx--    [ anon ]
0000000040b07000     248     200     200 rwx--    [ anon ]
0000000040b45000      12       0       0 -----    [ anon ]
0000000040b48000     248      36      36 rwx--    [ anon ]
0000000040c53000      12       0       0 -----    [ anon ]
0000000040c56000     248      32      32 rwx--    [ anon ]
0000000040de5000      12       0       0 -----    [ anon ]
0000000040de8000     248      48      48 rwx--    [ anon ]
0000000040f0d000      12       0       0 rwx--    [ anon ]
0000000040f10000     248     136     136 rwx--    [ anon ]
0000000040f4e000      12       0       0 rwx--    [ anon ]
0000000040f51000     248     136     136 rwx--    [ anon ]
0000000040fe2000      12       0       0 -----    [ anon ]
0000000040fe5000     248      36      36 rwx--    [ anon ]
0000000041023000      12       0       0 -----    [ anon ]
0000000041026000     248      32      32 rwx--    [ anon ]
0000000041064000      12       0       0 -----    [ anon ]
0000000041067000     248      32      32 rwx--    [ anon ]
00000000410a5000      12       0       0 -----    [ anon ]
00000000410a8000     248      36      36 rwx--    [ anon ]
00000000410f2000      12       0       0 -----    [ anon ]
00000000410f5000     248      32      32 rwx--    [ anon ]
0000000041133000      12       0       0 -----    [ anon ]
0000000041136000     248      32      32 rwx--    [ anon ]
0000000041174000      12       0       0 -----    [ anon ]
0000000041177000     248      32      32 rwx--    [ anon ]
00000000411b5000      12       0       0 -----    [ anon ]
00000000411b8000     248      32      32 rwx--    [ anon ]
0000000041215000      12       0       0 -----    [ anon ]
0000000041218000     248       8       8 rwx--    [ anon ]
000000004126e000      12       0       0 -----    [ anon ]
